variable,tint
Population,neon
Income,neon
Nutrition|Calorie Supply,neon
Nutrition|Calorie Supply|+|Crops,neon
Nutrition|Calorie Supply|+|Livestock products,neon
Nutrition|Calorie Supply|+|Secondary products,neon
Nutrition|Calorie Supply|+|Fish,neon
Demand|Food|+|Crops,neon
Demand|Food|+|Livestock products,neon
Demand|Food|+|Fish,neon
Demand|Food|+|Secondary products,neon
Demand|+|Agricultural Supply Chain Loss,neon
Demand|+|Food,neon
Demand|+|Feed,neon
Demand|+|Material,neon
Demand|+|Processing,neon
+|Production,yellow
Production|+|Crops,yellow
Production|+|Crop residues,yellow
Production|+|Forage,yellow
Production|+|Livestock products,yellow
Production|+|Pasture,yellow
Production|+|Secondary products,yellow
Production|+|Fish,yellow
Prices|Agriculture|Maize,yellow
Prices|Agriculture|Ruminant meat,yellow
Prices|Agriculture|Temperate cereals,yellow
Prices|Agriculture|Tropical cereals,yellow
Prices|Agriculture|Rice,yellow
Prices|Agriculture|Poultry meat,yellow
Prices|Agriculture|Fish,yellow
Household Expenditure|Food|Expenditure Share,yellow
Household Expenditure|Food|Expenditure Share|Crops,yellow
Household Expenditure|Food|Expenditure Share|Livestock products,yellow
Resources|Land Cover|+|Cropland,neon
Resources|Land Cover|Cropland|+|Crops,neon
Resources|Land Cover|Cropland|+|Forage,neon
Resources|Land Cover|+|Pastures and Rangelands,neon
Resources|Land Cover|+|Forest,neon
Resources|Land Cover|Forest|+|Natural Forest,neon
Resources|Land Cover|Forest|+|Managed Forest,neon
Resources|Land Cover|+|Other Land,neon
Resources|Land Cover|+|Urban Area,neon
Productivity|Yield|+|Crops,neon
Productivity|Yield|+|Forage,neon
Productivity|Yield|+|Pasture,neon
Productivity|Yield|Crops|+|Cereals,neon
Productivity|Yield|Crops|+|Oil crops,neon
Productivity|Yield|Crops|+|Sugar crops,neon
Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer,yellow
Resources|Water|Withdrawal|Agriculture,yellow
Resources|Land Cover|Cropland|Area actually irrigated,yellow
Resources|Nitrogen|Cropland Budget|Balance,yellow
Resources|Nitrogen|Cropland Budget|Inputs,yellow
Resources|Nitrogen|Cropland Budget|Withdrawals,yellow
Emissions|CH4|Land|+|Agriculture,neon
Emissions|CO2|Land|+|Land Use Change,neon
Emissions|N2O|Land|+|Agriculture,neon
Emissions|N2O|Agriculture,neon
Emissions|CH4|Land|Agriculture,neon
