scenario,variable,unit,source,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
SSP2-19,CH₄,Mt/year,afolu,146.8902395,149.5483113,151.9378312,151.2333454,132.0422178,115.8344,102.1010052,92.03323154,83.27174132,75.61662043,68.89856018
SSP2-19,CH₄,Mt/year,total,334.2594117,325.8025452,329.6535424,267.6575185,219.9274489,192.0422204,169.0659854,146.7248379,127.4541507,112.9989254,103.2371543
SSP2-19,CO₂,Mt/year,afolu,6894.558733,7161.578136,4476.762383,721.614238,-1495.664526,-2285.441415,-3386.288427,-3567.443814,-3736.44211,-4251.409352,-4162.315552
SSP2-19,CO₂,Mt/year,total,37767.24183,40313.50203,40931.32174,23633.12853,11524.1294,3778.922018,-1510.684608,-6540.368386,-10608.86418,-12410.88058,-13048.88988
SSP2-19,N₂0,Mt/year,afolu,6.106336894,6.4432454230000005,6.983374876,7.3786499789999995,7.068785546,6.4678589419999994,5.790486101000001,5.295827296000001,4.822444905,4.38496834,4.00744032
SSP2-19,N₂0,Mt/year,total,8.286062293999999,8.748511823000001,9.564996576,9.770745179,9.218902946,8.196762942,7.417858801,6.556565696,6.111997505000001,5.6362178400000005,5.25132802
SSP2-Baseline,CH₄,Mt/year,afolu,146.8902395,149.5483113,157.953304,168.5213177,177.4381994,183.279675,186.5919041,187.859268,187.451757,186.9961634,185.8588734
SSP2-Baseline,CH₄,Mt/year,total,334.271352,326.5312227,345.3456956,373.1203152,393.4950937,411.4333682,425.5901578,433.3253072,436.4184341,434.1247642,422.1849603
SSP2-Baseline,CO₂,Mt/year,afolu,6894.948483,7161.443786,5114.400392,4220.248626,3865.736274,3037.158405,1935.181211,907.57449,65.65157982,-248.5715778,-481.5632985
SSP2-Baseline,CO₂,Mt/year,total,37768.99436,40294.63828,42262.42525,46727.55065,51606.4515,56651.62919,61402.26901,65996.979,74133.62928,81028.37688,85684.20439
SSP2-Baseline,N₂0,Mt/year,afolu,6.106336894,6.4432454230000005,7.099679159,7.806830453,8.402179588000001,8.869951011,9.210877842,9.423901433000001,9.550357404,9.609624571,9.618958368
SSP2-Baseline,N₂0,Mt/year,total,8.285950394,8.758082323,9.742624059,10.95987195,11.93002809,12.68941791,13.15797424,13.459985629999998,13.872232,14.47879637,15.09425517
